User ID,Name,Age,Gender,Sexual Orientation,Location,Education,Occupation,Height (in cm),Smoking/ Drinking preferences,Religion,Relationship goals,Horoscope,Verification,Blocked users,Liked users,Disliked users,Matches,Preferred_gender,Distance_radius(in KM),Compatibility_factors,Question_id,Category,Question,Message_id,User_id,Time_started,Time_closed,Deleted_conversation
1,Arch Esselin,52,Agender,Bisexual,Mocímboa,Undergraduate degree,Design Engineer,163,1,Christian,Something casual,Aquarius,0,682,867,490,268,Male,57,Shared Values,403,4,What's the first thing you find attractive in someone?,159,146,9:33 AM,3:47 PM,1
2,Ranique Philippault,40,Male,Heterosexual,Nesterov,High school,Analyst Programmer,248,0,INC,Marriage,Scorpio,1,523,816,531,102,Female,85,Shared Hobbies,712,4,What would you do on a rainy Sunday?,80,375,7:55 AM,12:02 PM,0
3,Chrystel Bavridge,26,Male,Pansexual,El Cafetal,In college,Junior Executive,144,1,Hindu,Marriage,Pisces,1,472,483,268,942,Female,22,Shared Interests,659,2,What's the first thing you find attractive in someone?,216,313,7:25 PM,5:10 PM,0
4,Hermon Blackledge,68,Female,Asexual,Tierra y Libertad,Graduate degree,Payment Adjustment Coordinator,149,0,Hindu,Something casual,Gemini,1,482,100,835,749,Male,97,Shared Interests,161,4,What's your impression of me from my profile?,506,912,3:29 PM,2:13 PM,0
5,Danyelle Benedick,31,Female,Bisexual,Parrsboro,Graduate degree,Sales Associate,235,0,Buddhist,Marriage,Taurus,1,571,522,543,141,Female,61,Shared Hobbies,29,2,What's a really sexy name for someone?,906,255,2:08 PM,10:00 PM,0
6,Sher Benettini,72,Male,Pansexual,Matahuasi,High school,Senior Quality Engineer,231,1,Atheist,Something casual,Aquarius,1,998,562,174,665,Female,27,Shared Values,155,2,What would you do on a rainy Sunday?,871,51,1:23 AM,12:51 AM,1
7,Kariotta Wigelsworth,38,Polygender,Homosexual,Otwock,In college,Community Outreach Specialist,126,1,Agnostic,Don't know yet,Gemini,1,651,125,874,974,Female,13,Shared Hobbies,17,2,What's your go-to feel good movie or series?,78,202,12:35 AM,10:25 PM,0
8,Rita Petrello,36,Male,Homosexual,Nangalimang,Undergraduate degree,Project Manager,142,0,Atheist,Don't know yet,Aquarius,0,210,663,836,815,Female,49,Shared Values,139,4,What's the first thing you find attractive in someone?,639,521,11:43 PM,6:05 AM,1
9,Darrel Sawrey,37,Male,Bisexual,Casilda,Graduate degree,Recruiting Manager,240,1,Christian,Relationship,Sagittarius,1,829,573,580,565,Male,21,Shared Values,317,4,What's your impression of me from my profile?,179,560,10:45 AM,10:14 AM,1
10,Carny Lowman,89,Female,Asexual,Guanajuato,In grad school,Accountant IV,246,1,Catholic,Don't know yet,Sagittarius,1,623,809,665,127,Male,26,Shared Hobbies,81,3,What's your go-to feel good movie or series?,740,883,5:08 PM,2:06 AM,0
11,Bernie Longina,42,Male,Heterosexual,Shihua,In college,Business Systems Development Analyst,201,1,Atheist,Don't know yet,Scorpio,1,199,978,121,218,Female,25,Shared Interests,875,3,When do you feel at your sexiest?,892,354,12:14 AM,1:15 PM,1
12,Donny Sheasby,19,Genderfluid,Pansexual,Dalianwan,In college,Information Systems Manager,121,1,Catholic,Relationship,Taurus,0,100,775,510,794,Female,52,Shared Hobbies,2,2,What's something you've done and will never do again?,599,135,11:41 AM,1:13 AM,0
13,Yvon Ebi,96,Female,Heterosexual,Choibalsan,In college,Structural Analysis Engineer,238,0,Catholic,Don't know yet,Virgo,1,988,659,630,49,Male,72,Shared Hobbies,359,2,Who's your favorite LGBTQ+ icon and why?,400,733,12:05 AM,6:22 PM,0
14,Shirline McQuin,19,Female,Asexual,Longgao,In grad school,VP Marketing,166,0,Agnostic,Relationship,Sagittarius,0,60,800,593,607,Female,56,Shared Values,75,2,What would you guess about me that isn't on my profile?,284,628,3:36 AM,12:38 PM,1
15,Theo Featherbie,23,Female,Asexual,Shishan,Graduate degree,Computer Systems Analyst IV,175,0,Atheist,Marriage,Gemini,1,106,974,998,309,Female,48,Shared Interests,463,2,What's the funniest nickname someone has for you?,608,708,2:33 AM,4:54 PM,0
16,Brittney Hansberry,88,Female,Asexual,Kachar,In college,Staff Scientist,139,0,Atheist,Something casual,Aquarius,0,309,40,84,427,Female,83,Shared Values,817,2,What would you do on a rainy Sunday?,233,864,12:30 PM,4:50 PM,1
17,Farris Eshmade,60,Female,Heterosexual,Herval,Undergraduate degree,Teacher,130,1,Catholic,Don't know yet,Taurus,1,322,773,111,767,Male,91,Shared Values,221,1,What would you do on a rainy Sunday?,456,884,5:56 PM,8:19 PM,1
18,Humfried Trussell,73,Female,Bisexual,Katrineholm,Undergraduate degree,Community Outreach Specialist,237,0,Atheist,Marriage,Gemini,1,941,88,580,555,Male,18,Shared Values,602,5,What's your go-to feel good movie or series?,882,309,10:08 PM,9:22 AM,0
19,Faydra Hardbattle,60,Polygender,Pansexual,Jinghai,High school,Teacher,241,0,Buddhist,Relationship,Libra,1,258,682,192,814,Female,88,Shared Hobbies,819,2,What would you guess about me that isn't on my profile?,570,295,6:10 PM,7:31 PM,1
20,Cleavland Bielfeld,79,Female,Asexual,Manorhamilton,Graduate degree,Senior Financial Analyst,188,1,Catholic,Marriage,Gemini,1,523,771,958,272,Male,71,Shared Interests,956,5,What's your impression of me from my profile?,915,477,6:20 PM,10:57 PM,0
