User ID,Name,Age,Gender,Sexual Orientation,Location,Education,Occupation,Height (in cm),Smoking/ Drinking preferences,Religion,Relationship goals,Horoscope,Verification,Blocked users,Liked users,Disliked users,Matches,Preferred_gender,Distance_radius(in KM),Compatibility_factors,Question_id,Category,Question,Message_id,User_id,Time_started,Time_closed,Deleted_conversation
1,Eveline Szubert,22,Female,Bisexual,San Jose del Monte,Graduate degree,Structural Analysis Engineer,155,0,Catholic,Relationship,Scorpio,0,659,441,781,233,Female,49,Shared Interests,572,3,What's a really sexy name for someone?,123,640,2:37 AM,10:02 AM,0
2,George Hursey,28,Female,Bisexual,Lucena City,Undergraduate degree,Software Test Engineer II,198,1,INC,Something casual,Scorpio,1,549,685,289,260,Female,83,Shared Interests,372,2,What's something you've done and will never do again?,703,587,10:46 PM,6:14 PM,0
3,Nigel Speke,28,Female,Homosexual,General Santos City,In college,Media Manager I,133,0,Buddhist,Marriage,Scorpio,1,356,249,558,33,Male,33,Shared Values,914,4,What's the first thing you find attractive in someone?,191,605,3:58 AM,12:38 PM,0
4,Grantley Scobbie,31,Bigender,Bisexual,Taguig,Graduate degree,Web Designer I,153,1,Catholic,Don't know yet,Pisces,0,634,221,579,942,Male,56,Shared Interests,911,2,What's a really sexy name for someone?,35,753,1:05 PM,5:54 AM,1
5,Jo Dany,36,Female,Heterosexual,Tarlac City,High school,Safety Technician I,239,1,Buddhist,Don't know yet,Gemini,0,683,68,902,117,Female,56,Shared Hobbies,372,2,What would you guess about me that isn't on my profile?,520,720,11:48 AM,7:24 PM,1
6,Gilbertine Caisley,37,Female,Bisexual,Lucena City,Graduate degree,Budget/Accounting Analyst IV,161,1,Hindu,Relationship,Virgo,0,74,933,78,893,Female,79,Shared Interests,674,3,What's something you've done and will never do again?,720,471,1:34 AM,6:04 PM,1
7,Duffie Simacek,19,Polygender,Asexual,Lapu-Lapu City,Undergraduate degree,Librarian,243,0,Christian,Don't know yet,Virgo,1,287,865,57,426,Male,13,Shared Values,188,5,What's your go-to feel good movie or series?,271,71,9:29 AM,11:32 AM,1
8,Edin Youle,23,Male,Heterosexual,Naga City,In grad school,Recruiting Manager,135,0,Hindu,Relationship,Aries,1,560,933,355,180,Female,35,Shared Values,673,1,What's your go-to feel good movie or series?,431,606,12:50 PM,8:05 PM,0
9,Ursa Shingler,22,Male,Pansexual,Baguio City,Graduate degree,Senior Editor,153,1,Atheist,Don't know yet,Aquarius,0,255,815,163,977,Female,79,Shared Values,109,4,What's the first thing you find attractive in someone?,410,477,6:34 AM,9:22 AM,1
10,Desi Hurrion,25,Male,Bisexual,Olongapo City,Graduate degree,Teacher,139,0,Born Again Christian,Don't know yet,Virgo,1,433,934,370,966,Male,18,Shared Values,248,4,What's something you've done and will never do again?,764,25,7:13 AM,6:30 PM,1
11,Hesther Cossons,21,Male,Heterosexual,Taguig,In grad school,Actuary,198,1,Atheist,Something casual,Sagittarius,1,689,440,757,297,Female,59,Shared Hobbies,676,3,What would you guess about me that isn't on my profile?,11,461,11:46 PM,8:05 PM,1
12,Carlee Locard,23,Genderfluid,Heterosexual,Legazpi City,In grad school,Database Administrator I,136,0,Hindu,Something casual,Leo,1,373,586,544,682,Female,9,Shared Interests,484,4,What would you guess about me that isn't on my profile?,748,475,6:58 PM,5:54 AM,1
13,Dirk Vaulkhard,39,Female,Pansexual,Pasig,Undergraduate degree,Administrative Officer,184,0,Catholic,Marriage,Leo,1,271,436,70,221,Male,2,Shared Hobbies,599,3,What would you do on a rainy Sunday?,177,148,10:52 AM,1:54 PM,1
14,Rodolph Roglieri,26,Male,Homosexual,Davao City,In college,Mechanical Systems Engineer,238,0,Hindu,Marriage,Sagittarius,1,216,865,28,695,Male,10,Shared Interests,359,3,When do you feel at your sexiest?,618,516,5:31 PM,4:34 PM,0
15,Lexie Downham,26,Male,Asexual,Zamboanga City,Undergraduate degree,Financial Analyst,134,0,Agnostic,Marriage,Libra,1,255,511,45,611,Female,5,Shared Values,367,1,Who's your favorite LGBTQ+ icon and why?,972,184,4:39 PM,3:28 PM,0
16,Cecelia Dykins,29,Female,Heterosexual,Parañaque,In college,Social Worker,196,1,Agnostic,Relationship,Taurus,1,305,348,188,505,Female,81,Shared Values,468,4,When do you feel at your sexiest?,129,739,6:21 AM,3:58 PM,1
17,Agna Vreiberg,19,Male,Homosexual,Bacoor,In college,Actuary,182,1,Atheist,Don't know yet,Libra,1,666,140,679,362,Female,27,Shared Interests,130,4,What's your impression of me from my profile?,98,882,9:16 PM,8:30 AM,1
